ingredients,label_low
"coconut_oil", 0
"Water (Aqua, Eau), Stearyl Alcohol, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter, Phenoxyethanol, Parfum (Fragrance), Lactic Acid, Ethylhexylglycerin, Polyester-11, Panthenol", 0
"aqua water, cetearyl alcohol, behentrimonium chloride, cyamopsis tetragonoloba guar gum, phytic acid, phenoxyethanol, chlorphenesin", 1
"water, citric acid, phenoxyethanol", 1
"flaxseed extract, agave nectar extract, pectin, aloe vera juice, marshmallow root extract, vitamin e, xanthan gum, optiphen plus, sweet orange essential oil", 1
"water, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, propanediol, glycol distearate, phenoxyethanol, butyrospermum parkii shea butter, alanine, arginine, aspartic acid, glycine, histidine, isoleucine, phenylalanine, proline, serine, sodium pca, pca, sodium lactate, threonine, valine, citric acid, disodium edta, glycine soja soybean oil, glycine soja soybean sterols, glycolipids, guar hydroxypropyltrimonium chloride, hydroxyethylcellulose, hydroxyacetophenone, lauryl lactyl lactate, peg-150 distearate, phospholipids, ricinus communis castor seed oil, fragrance", 1
"water aqua eau, cetyl alcohol, cetearyl alcohol, behentrimonium chloride, glycerin, propanediol, stearamido-propyl dimethylamine, isopropyl myristate, cocos nucifera coconut water, aloe barbadensis leaf juice, chamomilla recutita matricaria flower extract, lavandula angustifolia lavender extract, cetyl esters, cetrimonium chloride, guar hydroxypropyltrimonium chloride, dicetyldimonium chloride, propylene glycol, caprylyl glycol, 1, 2-hexanediol, leuconostoc radish root ferment filtrate, fragrance parfum, potassiu, sorbate, panthenol, to-copheryl acetate, sodium benzoate, edta, citric acid, isopropyl alcohol, phenoxyethanol, ethylhexylglycerin, amyl cinnamal, limonene, isoeugenol, linalool", 1
"water, aqua-eau, aloe barbadensis gel, hydroxyethylcellulose, maltodextrin copolymer, potassium hydroxide, gluconolactone, sodium benzoate, calcium gluconate, alkyl acrylate crosspolymer, citrus aurantium dulcis peel oil, caprylic capric triglyceride, potassium sorbate, sodium phytate, glycerin, chamomilla recutita matricaria flower extract, eucalyptus globulus leaf extract, ginkgo biloba leaf extract, aspalathus linearis leaf extract, honey extract, limonene", 1
"Petrolatum, Lanolin, Lecithin, Mineral Oil/Paraffinum Liquidum, Amyl Cinnamyl Cinnamyl Alcohol, Limonene, Linalool, Fragrance/Parfum, Green 6/CI 61565, Violet 2/CI 60725", 0
"Aqua (Water), Cetearyl Alcohol, Dimethicone, Stearamidopropyl Dimethylamine, Behentrimonium Chloride, Parfum (Fragrance), Dipropylene Glycol, Lactic Acid, Sodium Chloride, Amodimethicone, Disodium EDTA, PEG-150 Distearate, PEG-7 Propylheptyl Ether, Cetrimonium Chloride, DMDM Hydantoin, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Nitrate, Magnesium Chloride, Citronellol, Geraniol, Limonene, Linalool", 1
"Aqua (Water), Linum Usitatissimum (Linseed/Flaxseed Extract), Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Aloe Barbadensis (Aloe Vera) Leaf Juice Powder, Magnesium Sulfate, Benzoic Acid, Dehydroacetic Acid, Phenoxyethanol", 1
"aqua water eau, glycerin, betaine, cetearyl alcohol, cetyl alcohol, linum usitatissimum linseed seed extract, brassicamidopropyl dimethylamine, polyglyceryl-3 betainate acetate, oryza sativa rice extract, biotin, ceramide np, phytosterols, inositol, copper tripeptide-1, serenoa serrulata fruit extract, cocos nucifera coconut oil, cetyl esters, c12-15 alkyl lactate, lactic acid, lauramidopropyl hydroxysultaine, caprylhydroxamic acid, sodium chloride, caprylyl glycol, potassium sorbate, sodium benzoate", 1
"Water, Stearyl Alcohol, Cetyl Alcohol, Behentrimonium Chloride, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter (Certified Organic Ingredient) (Fair Trade Ingredient), Argania Spinosa Kernel Oil, Macrocystis Pyrifera (Kelp) Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Daucus Carota Sativa (Carrot) Seed Oil, Hydrolyzed Silk, Hydrolyzed Soy Protein, Aloe Barbadensis Leaf Juice, Panthenol, Tocopheryl Acetate, Dicaprylyl Ether, Sodium Isostearoyl Lactylate, Sodium Benzoate, Hydroxyethylcellulose, Triethyl Citrate, Caprylyl Glycol, Benzoic Acid, Fragrance (Essential Oil Blend)", 1
